Has a citizen made a request for compliance?,Is this the location of a missing ramp where one is warranted?,Are there Detectable Warnings?,Are the Detectable Warnings properly placed?,Are the Detectable Warnings in good condition and show color contrast?,Maximum slope of side flares? (answer 99 if no side flares),Is there a built up Curb Ramp?,"Are all slope transitions less then 1/4""?",Is there a 4'x4' landing at bottom of Curb Ramp outside vehicle lane?,Is there a 4'x4' landing at top of Curb Ramp?,What is the maximum cross slope of the top landing?,What is the minimum width of the Curb Ramp? (inches),Maximum cross slope of Curb Ramp?,Maximum running slope of Curb Ramp?,Maximum Curb Ramp Gutter Slope?,Minimum width of adjacent walk?,Maximum cross slope of adjacent walk?,Maximum running slope of adjacent walk?,"Are all horizontal openings of the Curb Ramp less then 1/2""?",Minimum width of marked Cross Walk? (99 if no Cross Walk),Maximum cross slope of existing/proposed Cross Walk?,Maximum running slope of existing/proposed Cross Walk?,Are there Traffic Signals?,Are there Pedestrian Signals?,Is there a push button within reach of sidewalk?,Latitude,Longitude,Street,Crossing Street (or Facility),Ramp Direction,Is this the location of a missing ramp where one is warranted?,Are there Detectable Warnings?,Are the Detectable Warnings properly placed?,Are the Detectable Warnings in good condition and show color contrast?,Maximum slope of side flares? (answer 99 if no side flares),"Are all slope transitions less then 1/4""?",Is there a 4'x4' landing at bottom of Curb Ramp outside vehicle lane?,Is there a 4'x4' landing at top of Curb Ramp?,What is the maximum cross slope of the top landing?,What is the minimum width of the Curb Ramp?,Maximum cross slope of Curb Ramp?,Maximum running slope of Curb Ramp?,Maximum Curb Ramp Gutter Slope?,Minimum width of adjacent walk?,Maximum cross slope of adjacent walk?,Maximum running slope of adjacent walk?,"Are all horizontal openings of the Curb Ramp less then 1/2""?",Maximum cross slope of existing/proposed Cross Walk?,Maximum running slope of existing/proposed Cross Walk?,Is there a push button within reach of sidewalk?,Total Curb Ramp Condition Score,Total Gutter Slope Condition Score,Total Adjacent Walk Condition Score,Total Crosswalk Condition Score,Total Ped Signal Condition Score,Total Condition  Score,Has a citizen made a request for compliance?,Population Density,Senior Population Density,Disabled Population Density,Distance from Public Places,Distance form Transit Route,Total Location Rating,TOTAL RATING
No,No,No,No,No,99,No,No,No,Yes,5.9,170,3.9,0.3,22.3,47,1.6,5.7,Yes,99,3.9,2.8,No,No,No,41.591675,-87.813488,80th Avenue,Nottingham Drive,NW,0,20,10,10,,10,10,0,10,0,10,0,3,7,0,7,0,0,0,,80,3,14,0,,97,0,5,5,5,7,0,22,119
No,No,No,No,No,99,No,No,No,Yes,9.4,168,7.8,0.4,22.1,78,8.9,1.8,Yes,99,5.1,0.9,No,No,No,41.591534,-87.813494,80th Avenue,Nottingham Drive,SW,0,20,10,10,,10,10,0,10,0,10,0,3,0,7,0,0,4,0,,80,3,7,4,,94,0,5,5,5,7,0,22,116
No,No,Yes,Yes,Yes,99,No,Yes,No,No,99,59,0.7,1,1.4,99,99,99,Yes,99,0.5,2.9,No,No,No,41.601184,-87.813859,80th Avenue,NuMark Credit Union,Median-N,0,0,0,0,,0,10,10,,0,0,0,0,,,,0,0,0,,20,0,0,0,,20,0,5,5,5,7,0,22,42
No,No,Yes,Yes,Yes,99,No,Yes,No,No,99,59,0.1,2.2,1.2,99,99,99,Yes,99,0.4,1.2,No,No,No,41.60115,-87.813864,80th Avenue,NuMark Credit Union,Median-S,0,0,0,0,,0,10,10,,0,0,0,0,,,,0,0,0,,20,0,0,0,,20,0,5,5,5,7,0,22,42
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,2.3,59,0.2,5.3,4,59,0.9,0.7,Yes,99,0.2,1.5,No,No,No,41.601241,-87.813864,80th Avenue,NuMark Credit Union,NW,0,0,0,0,,0,10,0,10,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,,20,0,5,5,5,7,0,22,42
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,0.2,59,0.1,5.8,2.8,59,0.3,0.9,Yes,99,0.1,0.6,No,No,No,41.601082,-87.813859,80th Avenue,NuMark Credit Union,SW,0,0,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,0,0,,10,0,5,5,5,7,0,22,32
No,No,No,No,No,99,No,No,No,Yes,5.7,175,5.1,9.3,1.2,59,1.7,1.2,Yes,99,0.7,1.1,No,No,No,41.585311,-87.81296,80th Avenue,Paxtion Avenue,NE,0,20,10,10,,10,10,0,10,0,10,10,0,0,0,0,0,0,0,,90,0,0,0,,90,0,5,3,7,10,0,25,115
No,No,No,No,No,99,No,No,No,Yes,8.5,194,6.7,8.5,1.4,60,3.5,1.4,Yes,99,1.2,0.9,No,No,No,41.585141,-87.812945,80th Avenue,Paxtion Avenue,SE,0,20,10,10,,10,10,0,10,0,10,10,0,0,7,0,0,0,0,,90,0,7,0,,97,0,5,3,7,10,0,25,122
No,No,No,No,No,99,No,No,No,Yes,2.9,74,5.1,7.8,0.4,62,0.5,5.9,Yes,66,1,0.8,No,No,No,41.567119,-87.812704,80th Avenue,Pottawattomi Trail,NW,0,20,10,10,,10,10,0,10,0,10,0,0,0,0,7,0,0,0,,80,0,7,0,,87,0,5,5,5,5,7,27,114
No,No,No,No,No,99,No,No,No,Yes,4.1,69,4.7,9,1.3,60,2.7,1.8,Yes,62,1.6,1.8,No,No,No,41.566985,-87.81269,80th Avenue,Pottawattomi Trail,SW,0,20,10,10,,10,10,0,10,0,10,10,0,0,7,0,0,0,0,,90,0,7,0,,97,0,5,5,5,5,10,30,127
No,No,No,No,No,99,No,Yes,No,Yes,1.9,60,0.2,0.9,99,60,0.2,2.2,Yes,99,99,99,No,No,No,41.563267,-87.812584,80th Avenue,R/R,NW,0,20,10,10,,0,10,0,0,0,0,0,,0,0,0,0,,,,50,,0,0,,50,0,5,5,5,5,10,30,80
No,No,No,No,No,99,No,No,No,Yes,3.9,59,4.3,2.5,99,60,3.6,0.8,Yes,99,99,99,No,No,No,41.563034,-87.812557,80th Avenue,R/R,SW,0,20,10,10,,10,10,0,10,0,10,0,,0,7,0,0,,,,80,,7,0,,87,0,5,5,5,5,10,30,117
No,No,No,No,No,99,"Yes, outside vehicle path",Yes,No,Yes,3,78,1.6,5.7,1.8,63,3.2,0.2,Yes,72,2.5,0.2,No,No,No,41.615326,-87.814019,80th Avenue,Sycamore Drive,NE,0,20,10,10,,0,10,0,10,0,0,0,0,0,7,0,0,0,0,,60,0,7,0,,67,0,5,7,7,5,0,24,91
No,No,No,No,No,99,"Yes, outside vehicle path",No,No,Yes,5.4,67,3,9.4,1.4,57,3.4,2,Yes,71,1.3,0.6,No,No,No,41.615194,-87.81401,80th Avenue,Sycamore Drive,SE,0,20,10,10,,10,10,0,10,0,10,10,0,0,7,0,0,0,0,,90,0,7,0,,97,0,5,7,7,5,0,24,121
No,No,No,No,No,99,No,Yes,No,No,99,127,2.6,0.7,0.8,99,99,99,Yes,99,5.6,0.4,No,No,No,41.562352,-87.812109,80th Avenue,Timber Drive,NE,0,20,10,10,,0,10,10,,0,10,0,0,,,,0,4,0,,70,0,0,4,,74,0,0,0,0,5,10,15,89
No,No,Yes,No,Yes,99,No,Yes,No,Yes,1.4,64,3.2,5.1,0.6,61,2,2.4,Yes,79,0.2,1.8,No,No,No,41.562161,-87.812193,80th Avenue,Timber Drive,SE,0,0,10,0,,0,10,0,0,0,10,0,0,0,0,0,0,0,0,,30,0,0,0,,30,0,0,0,0,5,10,15,45
No,No,No,No,No,99,No,Yes,No,Yes,2.3,60,4.6,5.4,99,59,1.3,0.3,Yes,99,1.5,0.9,No,No,No,41.586098,-87.813322,80th Avenue,Tinley Medical Center,NW,0,20,10,10,,0,10,0,10,0,10,0,,0,0,0,0,0,0,,70,,0,0,,70,0,5,5,5,10,0,25,95
No,No,No,No,No,99,No,Yes,No,Yes,2.2,60,1.2,8.5,99,60,2.1,1.4,Yes,99,1.8,1.7,No,No,No,41.586007,-87.813322,80th Avenue,Tinley Medical Center,SW,0,20,10,10,,0,10,0,10,0,0,10,,0,7,0,0,0,0,,70,,7,0,,77,0,5,5,5,10,0,25,102
No,No,Yes,No,Yes,99,No,No,No,Yes,2.1,60,2,6.7,1.9,60,1.8,3.5,Yes,60,2.4,3.2,No,No,No,41.583983,-87.812906,80th Avenue,Tinley Park Performing Arts Center,NE,0,0,10,0,,10,10,0,10,0,0,0,0,0,0,0,0,0,0,,40,0,0,0,,40,0,5,3,7,10,0,25,65
No,No,Yes,No,Yes,99,No,Yes,No,Yes,2.4,61,0.3,2.4,4.4,58,3,2.6,Yes,56,3.8,4.4,No,No,No,41.583192,-87.812883,80th Avenue,Tinley Park Performing Arts Center,NE,0,0,10,0,,0,10,0,10,0,0,0,0,0,7,0,0,0,0,,30,0,7,0,,37,0,5,3,7,10,0,25,62
No,No,Yes,No,Yes,99,No,No,No,Yes,4.2,59,5.2,3.1,3.3,60,3.1,0.6,Yes,61,4.7,0.4,No,No,No,41.583882,-87.812907,80th Avenue,Tinley Park Performing Arts Center,SE,0,0,10,0,,10,10,0,10,0,10,0,0,0,7,0,0,0,0,,50,0,7,0,,57,0,5,3,7,10,0,25,82
No,No,Yes,Yes,Yes,23.8,No,Yes,No,Yes,4.2,94,3,5.6,4.4,99,99,99,Yes,65,2.3,2.8,No,No,No,41.583103,-87.812842,80th Avenue,Tinley Park Performing Arts Center,SE,0,0,0,0,5,0,10,0,10,0,10,0,0,,,,0,0,0,,35,0,0,0,,35,0,5,3,7,10,0,25,60
No,No,No,No,No,9.5,No,No,No,Yes,1.5,77,1.8,7.3,2.4,58,1.9,1.3,Yes,99,2.3,2.4,No,No,No,41.602946,-87.813565,80th Avenue,Walgreens,NE,0,20,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,5,7,7,5,0,24,84
No,No,No,No,No,8.7,No,Yes,No,Yes,1.3,72,3.3,2.1,2.8,59,2,0.8,Yes,99,3.9,0.6,No,No,No,41.602803,-87.813557,80th Avenue,Walgreens,SE,0,20,10,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,5,7,7,5,0,24,84
No,No,No,No,No,99,"Yes, outside vehicle path",Yes,No,Yes,4.4,87,5,9.8,1.2,61,5.2,3.3,Yes,72,0.1,0.4,Yes,Yes,Yes,41.611673,-87.813936,80th Avenue,Wheeler Drive,NE-E,0,20,10,10,,0,10,0,10,0,10,10,0,0,7,0,0,0,0,0,80,0,7,0,0,87,0,5,7,7,7,0,26,113
No,No,No,No,No,99,"Yes, outside vehicle path",Yes,No,Yes,6.6,75,0.3,6.7,1.5,58,3.2,4.9,Yes,72,1.7,1.1,Yes,Yes,Yes,41.611638,-87.813877,80th Avenue,Wheeler Drive,NE-N,0,20,10,10,,0,10,0,10,0,0,0,0,0,7,0,0,0,0,0,60,0,7,0,0,67,0,5,7,7,7,0,26,93
No,No,No,No,No,99,No,Yes,No,Yes,0.9,202,3.5,10.7,17.3,60,1.2,0.7,Yes,75,1.1,1.6,Yes,Yes,Yes,41.611661,-87.814207,80th Avenue,Wheeler Drive,NW,0,20,10,10,,0,10,0,0,0,10,10,3,0,0,0,0,0,0,0,70,3,0,0,0,73,0,5,7,7,7,0,26,99
No,No,No,No,No,99,"Yes, outside vehicle path",No,No,Yes,4.4,76,1.4,6.1,1.2,59,3,1.5,Yes,72,0.6,3.6,Yes,Yes,Yes,41.61149,-87.813918,80th Avenue,Wheeler Drive,SE-E,0,20,10,10,,10,10,0,10,0,0,0,0,0,7,0,0,0,0,0,70,0,7,0,0,77,0,5,7,7,7,0,26,103
No,No,No,No,No,99,"Yes, outside vehicle path",Yes,No,Yes,0.6,72,0.3,5.6,1.4,58,4.5,0.7,Yes,72,1.1,1.4,Yes,Yes,Yes,41.611493,-87.813871,80th Avenue,Wheeler Drive,SE-S,0,20,10,10,,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,50,0,7,0,0,57,0,5,7,7,7,0,26,83
No,No,No,No,No,99,No,Yes,No,Yes,2.1,207,4.6,6.9,8.4,60,1.9,3.1,Yes,72,1.4,1.5,Yes,Yes,Yes,41.611468,-87.814234,80th Avenue,Wheeler Drive,SW,0,20,10,10,,0,10,0,10,0,10,0,3,0,0,0,0,0,0,0,70,3,0,0,0,73,0,5,7,7,7,0,26,99
No,No,No,No,No,99,No,No,No,Yes,2.9,73,2.5,2.9,99,59,1.6,3.5,Yes,99,1.2,0.8,No,No,No,41.601254,-87.813508,80th Avenue,Winston's Market,SE,0,20,10,10,,10,10,0,10,0,10,0,,0,0,0,0,0,0,,80,,0,0,,80,0,5,3,7,7,0,22,102
No,No,No,No,No,99,No,No,No,Yes,4.1,57,5.1,5.5,1.1,57,4,1.6,Yes,99,6,6.4,No,No,No,41.63894,-87.820096,82nd Avenue,138th Place,NW,0,20,10,10,,10,10,0,10,0,10,0,0,0,7,0,0,4,3,,80,0,7,7,,94,0,5,5,5,7,0,22,116
No,No,No,No,No,99,No,No,No,Yes,5.6,56,4.4,3.5,4.3,59,4.9,1.2,Yes,99,5.1,5.3,No,No,No,41.638852,-87.820094,82nd Avenue,138th Place,SW,0,20,10,10,,10,10,0,10,0,10,0,0,0,7,0,0,4,3,,80,0,7,7,,94,0,5,5,5,7,0,22,116
No,No,No,No,No,99,No,Yes,No,Yes,1.3,60,1.2,3.1,10.2,60,1,0.9,Yes,99,0.8,5.7,No,No,No,41.637008,-87.819969,82nd Avenue,140th Street,NW,0,20,10,10,,0,10,0,0,0,0,0,3,0,0,0,0,0,3,,50,3,0,3,,56,0,5,5,5,7,0,22,78
No,No,No,No,No,99,No,No,No,Yes,0.3,60,0.3,0.8,10.8,60,1,2.7,Yes,99,0.9,3.3,No,No,No,41.636867,-87.819964,82nd Avenue,140th Street,SW,0,20,10,10,,10,10,0,0,0,0,0,3,0,0,0,0,0,0,,60,3,0,0,,63,0,5,5,5,10,0,25,88
No,No,Yes,No,Yes,99,No,Yes,No,Yes,6.2,65,3.3,3.3,18,57,0.2,5,Yes,71,1.6,2.1,No,No,No,41.634638,-87.819905,82nd Avenue,141st Street,NW,0,0,10,0,,0,10,0,10,0,10,0,3,0,0,0,0,0,0,,40,3,0,0,,43,0,5,5,5,10,0,25,68
No,No,Yes,No,Yes,99,No,Yes,No,Yes,8.4,76,5.4,0.5,16,60,0.3,8.5,Yes,71,5,4.1,No,No,No,41.634533,-87.819894,82nd Avenue,141st Street,SW,0,0,10,0,,0,10,0,10,0,10,0,3,0,0,7,0,0,0,,40,3,7,0,,50,0,5,5,5,10,0,25,75
No,No,No,No,No,6.4,No,No,No,Yes,1.3,169,1.5,1,0.9,64,0.4,1.2,Yes,76,0.4,1.3,Yes,Yes,Yes,41.631267,-87.819528,82nd Avenue,143rd Street,NE,0,20,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,0,0,10,0,10,70
No,No,No,No,No,99,No,Yes,No,Yes,0.9,158,5.4,2.2,10.5,60,1.4,0.8,Yes,84,3.9,1.9,Yes,Yes,Yes,41.631255,-87.819861,82nd Avenue,143rd Street,NW-N,0,20,10,10,,0,10,0,0,0,10,0,3,0,0,0,0,0,0,0,60,3,0,0,0,63,0,5,5,5,10,0,25,88
No,No,No,No,No,99,No,No,No,Yes,2.3,158,0.5,3.7,9.5,61,3.3,0.4,Yes,78,2.5,0.3,Yes,Yes,Yes,41.631266,-87.819845,82nd Avenue,143rd Street,NW-W,0,20,10,10,,10,10,0,10,0,0,0,3,0,7,0,0,0,0,0,70,3,7,0,0,80,0,5,5,5,10,0,25,105
No,No,No,No,No,99,No,No,No,Yes,1.2,150,0.5,0.5,2,59,1.6,0.7,Yes,80,0.6,1,Yes,Yes,Yes,41.631029,-87.819512,82nd Avenue,143rd Street,SE,0,20,10,10,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,3,5,10,0,18,78
No,No,No,No,No,99,No,No,No,Yes,1.6,64,1.3,1.1,6.1,60,0.8,3.1,Yes,74,2,1.6,Yes,Yes,Yes,41.631028,-87.819856,82nd Avenue,143rd Street,SW-S,0,20,10,10,,10,10,0,0,0,0,0,3,0,0,0,0,0,0,0,60,3,0,0,0,63,0,0,3,5,10,0,18,81
No,No,No,No,No,99,No,Yes,No,Yes,3.6,71,3.9,3.9,7.5,60,1.8,0.8,Yes,72,1.3,2.3,Yes,Yes,Yes,41.630994,-87.819797,82nd Avenue,143rd Street,SW-W,0,20,10,10,,0,10,0,10,0,10,0,3,0,0,0,0,0,0,0,70,3,0,0,0,73,0,0,3,5,10,0,18,91
No,No,Yes,No,Yes,99,"Yes, outside vehicle path",Yes,No,Yes,2,138,0.3,9.2,1.4,59,1.7,3.3,Yes,72,1.8,0.5,Yes,No,No,41.616466,-87.818993,82nd Avenue,151st Street,SE,0,0,10,0,,0,10,0,0,0,0,10,0,0,0,0,0,0,0,,30,0,0,0,,30,0,5,7,7,3,0,22,52
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,1,86,3.8,4.1,10.5,59,1.9,0.3,Yes,72,2.7,2.4,Yes,No,No,41.61646,-87.81923,82nd Avenue,151st Street,SW,0,0,0,0,,0,10,0,0,0,10,0,3,0,0,0,0,0,0,,20,3,0,0,,23,0,5,7,7,3,0,22,45
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,1.7,59,1.6,3,1,60,0.5,3.2,Yes,60,2.7,1.8,No,No,No,41.642167,-87.820206,82nd Avenue,Arrowhead Lane,NW,0,0,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,0,0,,10,0,0,0,0,5,0,5,15
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,1.2,59,1.3,3.7,4.1,60,1.3,1.5,Yes,60,5.2,4.3,No,No,No,41.642074,-87.820198,82nd Avenue,Arrowhead Lane,SW,0,0,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,4,0,,10,0,0,4,,14,0,5,5,5,5,0,20,34
No,No,No,No,No,99,No,No,No,Yes,1.2,65,0.9,0.9,2.2,60,0.8,0.6,Yes,99,0.2,1.5,No,No,No,41.637007,-87.819765,82nd Avenue,Binford Drive,NE,0,20,10,10,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,0,0,0,7,0,7,67
No,No,No,No,No,99,No,No,No,Yes,1.2,62,0.2,0.8,0.4,60,1.4,2.5,Yes,99,1.9,3.4,No,No,No,41.636865,-87.819751,82nd Avenue,Binford Drive,SE,0,20,10,10,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,0,0,0,7,0,7,67
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,1.5,48,2.6,5.7,8.7,60,2.1,2.3,Yes,67,0.3,1.2,No,No,No,41.632569,-87.819884,82nd Avenue,Brighton Court,NW,0,0,0,0,,0,10,0,0,0,10,0,3,0,7,0,0,0,0,,20,3,7,0,,30,0,5,5,5,10,0,25,55
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,2,48,0.7,4.7,4.1,2,0.6,0.1,Yes,67,0.7,1.2,No,No,No,41.632478,-87.819884,82nd Avenue,Brighton Court,SW,0,0,0,0,,0,10,0,0,0,0,0,0,7,0,0,0,0,0,,10,0,7,0,,17,0,5,5,5,10,0,25,42
No,No,No,No,No,99,No,No,No,Yes,0.4,56,0.7,1.8,1.6,55,2.3,0.2,Yes,99,0.2,0.4,No,No,No,41.632138,-87.81954,82nd Avenue,Commercial Entrance,NE,0,20,10,10,,10,10,0,0,0,0,0,0,0,7,0,0,0,0,,60,0,7,0,,67,0,0,0,0,10,0,10,77
No,No,No,No,No,99,No,No,No,Yes,1.7,59,1.9,0.7,0.4,60,2.1,0.9,Yes,99,0.4,0.6,No,No,No,41.63205,-87.819535,82nd Avenue,Commercial Entrance,SE,0,20,10,10,,10,10,0,0,0,0,0,0,0,7,0,0,0,0,,60,0,7,0,,67,0,0,0,0,10,0,10,77
No,No,No,No,No,99,No,Yes,No,Yes,1.4,71,1.2,2.4,1.3,60,2.2,1.8,Yes,99,0.5,0.2,No,No,No,41.638945,-87.819821,82nd Avenue,Elizebeth Avenue,NE,0,20,10,10,,0,10,0,0,0,0,0,0,0,7,0,0,0,0,,50,0,7,0,,57,0,0,0,0,7,0,7,64
No,No,No,No,No,99,No,No,No,Yes,1.1,68,0.6,4.8,3.5,60,1.5,1.7,Yes,67,0.7,2.4,No,No,No,41.638802,-87.81981,82nd Avenue,Elizebeth Avenue,SE,0,20,10,10,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,0,0,0,7,0,7,67
No,No,No,No,No,99,No,No,No,Yes,5.7,74,4.8,6,19.3,61,7.4,8.6,Yes,99,0.8,1.8,No,No,No,41.628707,-87.819713,82nd Avenue,Eynsford Drive,SW,0,20,10,10,,10,10,0,10,0,10,0,3,0,7,7,0,0,0,,80,3,14,0,,97,0,0,3,5,10,0,18,115
No,No,Yes,Yes,Yes,99,"Yes, outside vehicle path",Yes,No,No,1.5,96,0.9,1.3,1.5,99,99,99,Yes,99,1.3,1.9,No,No,No,41.627994,-87.819386,82nd Avenue,Kristo Lane,NE,0,0,0,0,,0,10,10,0,0,0,0,0,,,,0,0,0,,20,0,0,0,,20,0,0,3,5,10,0,18,38
No,No,Yes,Yes,Yes,99,"Yes, outside vehicle path",Yes,No,Yes,0.6,95,0.4,0.5,1.1,99,99,99,Yes,99,0.4,0.7,No,No,No,41.627878,-87.819378,82nd Avenue,Kristo Lane,SE,0,0,0,0,,0,10,0,0,0,0,0,0,,,,0,0,0,,10,0,0,0,,10,0,0,3,5,10,0,18,28
No,No,No,No,No,99,No,Yes,No,Yes,0.1,84,0.2,5.5,99,59,1.1,0.3,Yes,75,0.3,1.4,No,No,No,41.633347,-87.819662,82nd Avenue,Prairie Elementary School,SE,0,20,10,10,,0,10,0,0,0,0,0,,0,0,0,0,0,0,,50,,0,0,,50,0,0,0,0,10,0,10,60
No,No,No,No,No,99,No,Yes,No,Yes,0.8,85,1.4,6.2,99,85,0.8,5,Yes,85,0.2,0.6,No,No,No,41.633343,-87.819784,82nd Avenue,Prairie Elementary School,SW,0,20,10,10,,0,10,0,0,0,0,0,,0,0,0,0,0,0,,50,,0,0,,50,0,5,5,5,10,0,25,75
No,No,No,No,No,99,No,No,No,Yes,1.6,62,1.9,2.9,2.8,60,0.7,0.3,Yes,99,0.3,1.4,No,No,No,41.633799,-87.819662,82nd Avenue,Uxbridge Drive,NE,0,20,10,10,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,0,0,0,10,0,10,70
No,No,No,No,No,99,No,No,No,Yes,1.4,64,1.2,0.4,1.8,60,1.6,0.9,Yes,99,1.1,3.1,No,No,No,41.633724,-87.81965,82nd Avenue,Uxbridge Drive,SE,0,20,10,10,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,0,0,0,10,0,10,70
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,0.1,51,0.3,4.6,6,59,3.4,2.8,Yes,66,2.9,6,No,No,No,41.640559,-87.820152,82nd Avenue,Vista Drive,NW,0,0,0,0,,0,10,0,0,0,0,0,3,0,7,0,0,0,3,,10,3,7,3,,23,0,5,5,5,7,0,22,45
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,3.4,54,1.5,2.9,8.3,58,1.8,0.6,Yes,66,6.9,1.9,No,No,No,41.640451,-87.820147,82nd Avenue,Vista Drive,SW,0,0,0,0,,0,10,0,10,0,0,0,3,0,0,0,0,4,0,,20,3,0,4,,27,0,5,5,5,7,0,22,49
No,No,Yes,Yes,Yes,99,"Yes, outside vehicle path",Yes,No,Yes,0.1,67,1.7,5.3,4.1,59,4.3,1.9,No,60,0.2,0.6,Yes,Yes,No,41.73855,-87.915267,83rd Street,County Line Road,NW-N,0,0,0,0,,0,10,0,0,0,0,0,0,0,7,0,5,0,0,3,15,0,7,0,3,25,0,0,0,0,5,0,5,30
No,No,Yes,Yes,Yes,99,"Yes, outside vehicle path",Yes,No,Yes,1.4,62,1.1,3.3,4.2,59,2.4,0.3,No,69,0.2,1.3,Yes,No,No,41.738556,-87.915232,83rd Street,County Line Road,NW-W,0,0,0,0,,0,10,0,0,0,0,0,0,0,7,0,5,0,0,,15,0,7,0,,22,0,0,0,0,5,0,5,27
No,No,No,No,No,99,No,Yes,No,Yes,3.3,72,4.6,6.3,8.9,60,3.8,0.6,Yes,72,2.8,1.2,Yes,Yes,Yes,41.738371,-87.915265,83rd Street,County Line Road,SW,0,20,10,10,,0,10,0,10,0,10,0,3,0,7,0,0,0,0,0,70,3,7,0,0,80,0,0,0,0,5,0,5,85
No,No,Yes,No,No,99,No,No,No,No,99,0,99,99,99,0,99,99,No,0,99,99,Yes,No,No,41.738366,-87.915272,83rd Street,County Line Road,SW,0,0,10,10,,10,10,10,,10,,,,7,,,5,,,,65,,7,0,,72,0,0,0,0,5,0,5,77
No,No,Yes,Yes,Yes,99,No,Yes,Yes,Yes,2.4,48,1.6,11.2,0.5,60,3.3,3,Yes,99,1,9.1,Yes,No,No,41.601966,-87.823557,84th Avenue,159th Street,NW-N,0,0,0,0,,0,0,0,10,0,0,10,0,0,7,0,0,0,3,,20,0,7,3,,30,0,5,7,7,5,0,24,54
No,No,Yes,Yes,Yes,99,No,Yes,Yes,Yes,2.1,48,1,6.8,1.4,60,0.9,0.3,Yes,72,0.2,1.7,Yes,No,No,41.602042,-87.823515,84th Avenue,159th Street,NW-W,0,0,0,0,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,,10,0,0,0,,10,0,5,7,7,5,0,24,34
No,No,No,No,No,13.3,No,No,Yes,Yes,0.7,48,1,9.6,1.2,60,0.5,1.4,Yes,99,1.2,3,Yes,No,No,41.601759,-87.823585,84th Avenue,159th Street,SW-S,0,20,10,10,5,10,0,0,0,0,0,10,0,0,0,0,0,0,0,,65,0,0,0,,65,0,5,5,5,7,0,22,87
No,No,No,No,No,31.3,No,Yes,Yes,Yes,6.3,48,4.7,12.6,0.7,60,7.9,0.2,Yes,99,0.3,1,Yes,No,No,41.601732,-87.823538,84th Avenue,159th Street,SW-W,0,20,10,10,5,0,0,0,10,0,10,10,0,0,7,0,0,0,0,,75,0,7,0,,82,0,5,5,5,7,0,22,104
No,No,No,No,No,99,No,No,Yes,Yes,2.4,59,0.3,8.2,0.5,48,2.5,0.7,Yes,99,0.3,3.5,No,No,No,41.598249,-87.823442,84th Avenue,161st Street,NW-N,0,20,10,10,,10,0,0,10,0,0,0,0,0,7,0,0,0,0,,60,0,7,0,,67,0,5,5,5,7,0,22,89
No,No,No,No,No,99,No,Yes,Yes,Yes,1,48,1.2,5.2,2.6,48,2.5,0.7,Yes,99,0.3,3.1,No,No,No,41.598275,-87.823411,84th Avenue,161st Street,NW-W,0,20,10,10,,0,0,0,0,0,0,0,0,0,7,0,0,0,0,,40,0,7,0,,47,0,5,5,5,7,0,22,69
No,No,No,No,No,12.6,No,Yes,Yes,Yes,1,50,0.7,8,3,48,2.3,1,Yes,99,2.6,2.6,No,No,No,41.598146,-87.823451,84th Avenue,161st Street,SW-S,0,20,10,10,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,,45,0,7,0,,52,0,5,5,5,10,0,25,77
No,No,No,No,No,99,No,No,Yes,Yes,2.6,48,0.2,6.6,0.5,48,2.3,1,Yes,99,1.2,1.9,No,No,No,41.598115,-87.823408,84th Avenue,161st Street,SW-W,0,20,10,10,,10,0,0,10,0,0,0,0,0,7,0,0,0,0,,60,0,7,0,,67,0,5,5,5,10,0,25,92
